Titulo,Link
" Pandemia no Brasil Registros de casos de covid somem, reaparecem e expõem subnotificação  ",https://noticias.uol.com.br/saude/ultimas-noticias/redacao/2021/09/25/casos-covid-19-oscilacao-sistema-e-sus-subnotificacao.htm
    Mil dias de governo  Bolsonaro usará marco para viajar o país e tentar recuperar sua popularidade   ,https://www1.folha.uol.com.br/poder/2021/09/bolsonaro-usara-marco-dos-mil-dias-para-viajar-o-pais-inaugurar-obras-e-tentar-recuperar-popularidade.shtml
"    Fórmula 1  'Constrangido' por (outro) erro, Hamilton sabe que precisa vencer em Sochi   ",https://www.uol.com.br/esporte/colunas/pole-position/2021/09/25/constrangido-por-outro-erro-hamilton-sabe-que-precisa-vencer-em-sochi.htm
"    premiê de Barbados  Antítese de Bolsonaro, primeira-ministra cita Bob Marley e chacoalha a ONU   ",https://noticias.uol.com.br/colunas/jamil-chade/2021/09/25/antitese-de-bolsonaro-primeira-ministra-cita-bob-marley-e-chacoalha-a-onu.htm
"    conversão clandestina  Com gasolina cara, brasileiros se arriscam com gás de cozinha em carro   ",https://economia.uol.com.br/noticias/bbc/2021/09/25/com-gasolina-cara-brasileiros-se-arriscam-com-gas-de-cozinha-em-carro.htm
    Reality da Record  Polícia investiga Nego do Borel por estupro de vulnerável em A Fazenda   ,https://tvefamosos.uol.com.br/noticias/redacao/2021/09/25/policia-investiga-nego-do-borel.htm
    Feltrin  Patrocinadores de A Fazenda pressionam por expulsão de Nego do Borel   ,https://www.uol.com.br/splash/noticias/ooops/2021/09/25/exclusivo-patrocinadores-de-a-fazenda-exigem-expulsao-de-borel.htm
"    Véspera do casamento MG: suspeita de envenenar noivos mandou doces de outra cidade, diz delegado  ",https://noticias.uol.com.br/cotidiano/ultimas-noticias/2021/09/25/suspeita-de-envenenar-noivos-fez-entrega-de-outra-cidade-diz-delegado.htm
    Presidente nos EUA Dono de pizzaria de NY desconhecia Bolsonaro e relata gorjeta de  US$ 5 da comitiva  ,https://noticias.uol.com.br/politica/ultimas-noticias/2021/09/25/dono-de-pizzaria-de-ny-nao-sabia-quem-e-bolsonaro-e-cita-aumento-de-procura.htm
"    Nikolas Ferreira Sem comprovante de vacina, vereador bolsonarista de BH é barrado no Cristo  ",https://noticias.uol.com.br/saude/ultimas-noticias/redacao/2021/09/25/vereados-bh-barrada-cristo-redentor-cartao-de-vacina.htm
    Jornalista foi demitido  Stycer: Desmentido da CNN a Alexandre Garcia era ineficaz e não evitava fake news   ,https://noticias.uol.com.br/colunas/mauricio-stycer/2021/09/24/desmentido-da-cnn-a-alexandre-garcia-e-ineficaz-e-nao-evita-fake-news.htm
    Mais 2 programas afetados  Chegada de Faustão faz MasterChef ser 'despejado' da Band; confira as mudanças   ,https://tvefamosos.uol.com.br/noticias/redacao/2021/09/25/faustao-faz-masterchef-ser-despejado-da-band-renata-fan-tera-mudancas.htm
       Leia e assista   Papo com Especialista  Veja quanto rendem R$ 100 por mês no Tesouro Direto com a alta dos juros   ,https://economia.uol.com.br/mais/ultimas-noticias/2021/09/25/papo-com-especialista-live-simulacao-tesouro-direto-alta-juros.htm
    Erupção do Cumbre Vieja  Muro de lava e destruição: vulcão nas Ilhas Canárias deixa rastro de caos   ,https://noticias.uol.com.br/internacional/ultimas-noticias/2021/09/25/velocidade-do-fluxo-de-lava-diminui-mas-erupcao-continua-ativa-em-la-palma.htm
    R$ 151 mil  Fiat usado mais caro do Brasil? 500 Abarth 2015 é leiloado por preço de Gol GTI   ,https://www.uol.com.br/carros/noticias/redacao/2021/09/25/fiat-usado-mais-caro-do-brasil-500-esportivo-encosta-no-preco-do-gol-gti.htm
    Assista 'La Casa de Papel': Palermo ameaça o bando em cena inédita da temporada 5  ,https://www.uol.com.br/splash/noticias/2021/09/25/la-casa-de-papel-palermo-ameaca-o-bando-em-cena-inedita-da-temporada-5.htm
"    Visibilidade Lésbica 'Memória de Marielle é política', diz Monica Benício após Câmara do Rio vetar projeto  ",https://www.uol.com.br/universa/noticias/redacao/2021/09/25/rj-vereadores-usam-hq-com-beijo-gay-para-vetar-dia-da-visibilidade-lesbica.htm
    Condenado na Espanha Sargento da FAB preso com cocaína ainda recebe salário de quase R$ 8.000  ,https://noticias.uol.com.br/politica/ultimas-noticias/2021/09/25/sargento-da-fab-preso-com-cocaina-segue-recebendo-salario-de-quase-r-7-mil.htm
"    De olho na manutenção Mania nacional, ar-condicionado pede carinho para gelar bem o carro; veja cuidados  ",https://www.uol.com.br/carros/noticias/redacao/2021/09/25/ar-condicionado-no-carro-cuide-bem-dele-para-nao-passar-calor-no-verao.htm
